iter	Passed	Remaining
0	2	433
1	3	376
2	5	369
3	8	392
4	9	373
5	10	351
6	12	341
7	14	341
8	15	336
9	17	330
10	18	323
11	20	322
12	22	328
13	24	330
14	26	331
15	28	331
16	30	326
17	31	322
18	33	316
19	34	311
20	36	307
21	37	306
22	39	303
23	41	302
24	42	298
25	44	296
26	50	322
27	56	349
28	58	345
29	60	343
30	63	343
31	67	355
32	69	353
33	71	348
34	72	343
35	74	338
36	78	344
37	81	346
38	83	342
39	85	342
40	88	343
41	90	341
42	92	336
43	93	331
44	95	327
45	98	328
46	100	326
47	101	322
48	103	319
49	105	315
50	107	312
51	108	309
52	110	306
53	113	306
54	115	304
55	117	302
56	119	299
57	121	297
58	123	294
59	125	291
60	130	298
61	132	294
62	134	291
63	135	288
64	137	285
65	139	282
66	140	279
67	142	275
68	143	272
69	145	270
70	147	268
71	149	265
72	152	264
73	154	263
74	156	260
75	157	257
76	160	256
77	162	253
78	163	250
79	166	249
80	167	246
81	169	243
82	172	242
83	174	240
84	176	238
85	177	235
86	179	233
87	181	230
88	183	229
89	186	227
90	188	225
91	190	223
92	193	222
93	194	219
94	196	216
95	197	213
96	199	211
97	204	212
98	206	210
99	208	208
100	211	207
101	212	204
102	214	201
103	215	199
104	217	196
105	219	194
106	220	192
107	222	189
108	224	187
109	225	184
110	226	181
111	228	179
112	230	177
113	231	174
114	233	172
115	235	170
116	237	168
117	238	166
118	240	163
119	241	160
120	242	158
121	243	155
122	245	153
123	246	151
124	248	148
125	249	146
126	250	144
127	252	141
128	253	139
129	255	137
130	257	135
131	259	133
132	261	131
133	264	130
134	267	128
135	269	126
136	271	125
137	273	122
138	274	120
139	276	118
140	277	116
141	279	113
142	282	112
143	287	111
144	291	110
145	295	109
146	298	107
147	301	106
148	305	104
149	307	102
150	310	100
151	313	98
152	315	96
153	316	94
154	318	92
155	319	90
156	321	87
157	322	85
158	324	83
159	326	81
160	328	79
161	329	77
162	331	75
163	333	73
164	335	71
165	336	68
166	338	66
167	339	64
168	341	62
169	348	61
170	351	59
171	352	57
172	353	55
173	355	53
174	356	50
175	358	48
176	360	46
177	361	44
178	362	42
179	363	40
180	365	38
181	368	36
182	370	34
183	372	32
184	374	30
185	377	28
186	378	26
187	379	24
188	381	22
189	382	20
190	383	18
191	385	16
192	387	14
193	389	12
194	392	10
195	394	8
196	398	6
197	399	4
198	401	2
199	403	0
