iter	RMSE
0	6467423.686
1	6361082.413
2	6253425.195
3	6167979.253
4	6073249.46
5	5989258.092
6	5897854.78
7	5805627.319
8	5734201.614
9	5641405.743
10	5564844.061
11	5486116.336
12	5399907.239
13	5329618.374
14	5257543.194
15	5210518.936
16	5137452.49
17	5073730.562
18	5011465.51
19	4929715.987
20	4855720.32
21	4784433.087
22	4716258.374
23	4652693.525
24	4602285.219
25	4532904.38
26	4461537.564
27	4393826.14
28	4335099.087
29	4266824
30	4203137.21
31	4144695.04
32	4107745.282
33	4060568.598
34	4008318.82
35	3959035.256
36	3902831.465
37	3862458.689
38	3815840.625
39	3761940.912
40	3709106.314
41	3667803.85
42	3614876.193
43	3582009.288
44	3537113.794
45	3501221.978
46	3449272.023
47	3419166.226
48	3376119.62
49	3335452.607
50	3292633.319
51	3255234.274
52	3204970.241
53	3168636.111
54	3122629.318
55	3081331.76
56	3053364.704
57	3025511.087
58	3002510.425
59	2965682.723
60	2934037.561
61	2902730.119
62	2866277.61
63	2839252.775
64	2802118.533
65	2772664.475
66	2746168.514
67	2713514.13
68	2707528.698
69	2672745.306
70	2643570.87
71	2614592.798
72	2594597.619
73	2572288.127
74	2544444.132
75	2518590.794
76	2507665.744
77	2477031.385
78	2448849.499
79	2432360.643
80	2413290.835
81	2390955.624
82	2376610.926
83	2355194.594
84	2332505.771
85	2314372.484
86	2294121.968
87	2276569.584
88	2255713.539
89	2235203.83
90	2211212.957
91	2191073.712
92	2176576.417
93	2155606.034
94	2136943.885
95	2129952.99
96	2113981.357
97	2092615.063
98	2075388.096
99	2069051.057
100	2048449.859
101	2030484.813
102	2010816.159
103	2007044.263
104	1995053.916
105	1978249.176
106	1957560.656
107	1937038.827
108	1933289.112
109	1910675.412
110	1899060.115
111	1880771.797
112	1865132.596
113	1857138.957
114	1838346.709
115	1833232.169
116	1823306.171
117	1811069.736
118	1800404.398
119	1784131.102
120	1765861.006
121	1753919.807
122	1738979.085
123	1726160.742
124	1714649.45
125	1697351.306
126	1676795.485
127	1662394.725
128	1646687.685
129	1643263.352
130	1637404.445
131	1621780.835
132	1607721.909
133	1598689.666
134	1589611.737
135	1576754.344
136	1564308.142
137	1550502.464
138	1540286.554
139	1527333.014
140	1525527.378
141	1508658.456
142	1499494.021
143	1490562.837
144	1482835.375
145	1476228.942
146	1463310.023
147	1459465.953
148	1451080.26
149	1441976.186
150	1435414.651
151	1424844.92
152	1410014.965
153	1405553.268
154	1394140.748
155	1389056.497
156	1378753.246
157	1363401.525
158	1358002.433
159	1348780.405
160	1339162.528
161	1332965.088
162	1322437.418
163	1313294.572
164	1303605.878
165	1295823.298
166	1286099.688
167	1276378.497
168	1269596.103
169	1265614.748
170	1251655.438
171	1247780.815
172	1241822.365
173	1238178.635
174	1234673.124
175	1230939.903
176	1220796.961
177	1213295.554
178	1204346.077
179	1196516.405
180	1191576.994
181	1185796.129
182	1179645.651
183	1168261.503
184	1163107.634
185	1153095.669
186	1146781.981
187	1136683.401
188	1121535.94
189	1115475.721
190	1109764.578
191	1105886.819
192	1100632.122
193	1092772.613
194	1090065.17
195	1084729.565
196	1078944.434
197	1072514.651
198	1066571.634
199	1062067.261
200	1055792.142
201	1050738.227
202	1046278.604
203	1034989.456
204	1034639.247
205	1031656.796
206	1026907.443
207	1022465.133
208	1016913.557
209	1004803.456
210	1002405.235
211	996650.2288
212	987241.3412
213	983150.5991
214	982994.2167
215	974564.0478
216	970250.3213
217	965757.6676
218	957909.8039
219	954169.1488
220	948138.7249
221	943519.5228
222	938152.1711
223	934588.4779
224	927760.3475
225	923054.2005
226	920018.0652
227	914035.3353
228	907937.1604
229	904956.6565
230	899298.4664
231	890230.585
232	888018.1913
233	881799.4187
234	878952.2886
235	872246.135
236	871848.1286
237	870836.2734
238	868473.4131
239	863171.2879
240	859086.1493
241	851663.2163
242	845112.1737
243	836566.2973
244	834467.4719
245	827534.2421
246	822441.7649
247	820190.8673
248	816667.9929
249	812683.6161
250	807692.0621
251	804902.4211
252	796946.1769
