iter	Passed	Remaining
0	5	1502
1	17	2148
2	25	2122
3	30	1891
4	35	1748
5	43	1801
6	52	1859
7	59	1834
8	66	1815
9	96	2336
10	101	2228
11	111	2233
12	115	2136
13	122	2087
14	133	2116
15	137	2032
16	148	2060
17	162	2122
18	167	2067
19	172	2010
20	180	1996
21	186	1960
22	189	1898
23	195	1864
24	197	1802
25	200	1753
26	206	1725
27	214	1720
28	221	1710
29	225	1674
30	231	1656
31	238	1647
32	239	1598
33	243	1565
34	252	1574
35	256	1546
36	264	1545
37	271	1538
38	275	1511
39	279	1490
40	284	1472
41	290	1459
42	295	1443
43	305	1449
44	308	1424
45	311	1400
46	317	1389
47	324	1385
48	331	1378
49	334	1356
50	340	1347
51	351	1357
52	358	1353
53	364	1341
54	372	1339
55	378	1333
56	391	1347
57	406	1367
58	410	1348
59	415	1335
60	422	1331
61	427	1317
62	435	1313
63	441	1305
64	449	1299
65	458	1298
66	462	1283
67	470	1280
68	474	1266
69	478	1249
70	485	1245
71	490	1232
72	495	1222
73	503	1218
74	507	1204
75	517	1204
76	522	1194
77	532	1195
78	536	1182
79	542	1173
80	548	1165
81	552	1152
82	556	1140
83	559	1125
84	565	1117
85	571	1109
86	578	1104
87	585	1097
88	588	1084
89	597	1082
90	604	1075
91	608	1065
92	612	1053
93	619	1048
94	622	1035
95	629	1030
96	635	1021
97	643	1017
98	652	1014
99	656	1004
100	661	995
101	668	989
102	674	982
103	680	974
104	684	964
105	687	953
106	695	948
107	700	940
108	702	927
109	709	922
110	714	913
111	721	908
112	728	902
113	730	890
114	738	885
115	745	880
116	750	871
117	762	872
118	775	873
119	779	864
120	786	858
121	795	853
122	800	845
123	806	839
124	814	833
125	820	826
126	824	817
127	829	809
128	833	801
129	835	790
130	839	781
131	847	776
132	853	770
133	862	765
134	866	757
135	872	750
136	878	743
137	884	737
138	893	732
139	896	723
140	898	713
141	902	705
142	906	697
143	911	689
144	915	681
145	919	673
146	925	667
147	930	659
148	937	654
149	945	649
150	951	643
151	955	634
152	964	630
153	967	621
154	972	614
155	976	607
156	981	599
157	985	592
158	988	584
159	999	580
160	1009	576
161	1015	570
162	1020	563
163	1025	556
164	1033	550
165	1041	546
166	1045	538
167	1053	532
168	1061	527
169	1065	520
170	1071	513
171	1077	507
172	1081	500
173	1087	493
174	1094	487
175	1098	480
176	1107	475
177	1113	469
178	1118	462
179	1125	456
180	1129	449
181	1135	442
182	1139	435
183	1144	429
184	1147	421
185	1155	416
186	1158	408
187	1162	402
188	1165	394
189	1173	389
190	1177	382
191	1180	375
192	1184	368
193	1188	361
194	1193	354
195	1201	349
196	1205	342
197	1211	336
198	1217	330
199	1222	324
200	1229	317
201	1232	311
202	1240	305
203	1245	299
204	1250	292
205	1256	286
206	1259	279
207	1263	273
208	1270	267
209	1274	260
210	1277	254
211	1281	247
212	1285	241
213	1291	235
214	1292	228
215	1295	221
216	1302	216
217	1310	210
218	1315	204
219	1321	198
220	1331	192
221	1339	187
222	1350	181
223	1364	176
224	1374	171
225	1384	165
226	1390	159
227	1394	152
228	1397	146
229	1401	140
230	1411	134
231	1416	128
232	1429	122
233	1437	116
234	1445	110
235	1448	104
236	1455	98
237	1459	92
238	1463	85
239	1477	80
240	1486	74
241	1495	67
242	1502	61
243	1506	55
244	1511	49
245	1514	43
246	1521	36
247	1531	30
248	1534	24
249	1542	18
250	1547	12
251	1559	6
252	1566	0
