transaction_id,customer_id,amount,customer_age,category,transaction_date
1,1138,335.7499246401501,47,health,2025-01-21
2,7140,226.47108460635351,37,entertainment,2025-01-06
3,6335,154.0532201320399,20,health,2025-01-20
4,1484,190.46152370809475,31,entertainment,2025-01-24
5,9180,254.7387422365858,66,travel,2025-01-08
6,2983,259.7678487204124,66,dining,2025-01-25
7,3295,262.51397867424157,63,dining,2025-01-12
8,2659,244.30783580010686,57,entertainment,2025-01-09
9,4002,283.4730037861769,22,electronics,2025-01-20
10,2582,211.39962551448173,41,travel,2025-01-15
11,4129,196.44406876452555,44,clothing,2025-01-02
12,8308,212.26090987189818,68,other,2025-01-23
13,5062,308.4300511838894,48,dining,2025-01-25
14,9309,239.226572223562,40,electronics,2025-01-03
15,5044,85.21535874110094,29,clothing,2025-01-21
16,3488,129.6866391825018,60,entertainment,2025-01-11
17,8098,139.1126148552469,23,travel,2025-01-03
18,8376,225.68615117362134,27,travel,2025-01-17
19,8756,347.0082687433136,54,travel,2025-01-20
20,9008,91.78181667697191,43,entertainment,2025-01-07
21,1225,85.54055311897025,74,electronics,2025-01-08
22,5616,91.33973462100778,42,groceries,2025-01-17
23,3413,209.69605746139723,22,travel,2025-01-02
24,3204,168.37863566081415,54,travel,2025-01-14
25,3170,280.82553382026117,61,clothing,2025-01-23
26,8417,71.03490166570666,74,groceries,2025-01-22
27,8127,246.7134613367586,23,health,2025-01-05
28,2923,168.21330721069734,53,groceries,2025-01-22
29,4686,303.9193013100926,18,clothing,2025-01-15
30,7672,221.92415968037517,41,entertainment,2025-01-15
31,2333,160.80189118276422,65,travel,2025-01-13
32,6668,111.56615873200292,19,dining,2025-01-12
33,4947,310.9301054995916,73,groceries,2025-01-13
34,9345,178.4448593728898,45,clothing,2025-01-20
35,7651,116.90887715129963,55,clothing,2025-01-11
36,3086,,42,groceries,2025-01-16
37,8514,225.5355703317597,24,dining,2025-01-10
38,8191,234.15667240048515,72,entertainment,2025-01-14
39,2917,167.56471376332001,44,clothing,2025-01-06
40,5662,200.0724236507316,41,dining,2025-01-21
41,8146,183.28694236383683,47,entertainment,2025-01-07
42,3083,308.34573264065415,41,clothing,2025-01-25
43,3202,161.55179358842034,60,dining,2025-01-08
44,2492,147.17417215465935,53,health,2025-01-11
45,1068,128.81132170638145,53,clothing,2025-01-26
46,5479,194.14253963712324,70,other,2025-01-12
47,1145,280.9783204326681,19,dining,2025-01-25
48,6243,,25,clothing,2025-01-12
49,4741,212.50992789285124,34,dining,2025-01-15
50,2658,300.87235454545663,19,health,2025-01-26
51,4256,278.89675517378896,65,health,2025-01-02
52,1134,233.58965860271184,57,clothing,2025-01-21
53,2290,372.9103484019403,60,dining,2025-01-14
54,5239,96.05462939682114,49,dining,2025-01-02
55,1695,317.5827861299368,35,entertainment,2025-01-11
56,7553,274.45358272568,51,electronics,2025-01-19
57,3311,116.5714621004839,41,travel,2025-01-07
58,9266,313.4398150027605,56,other,2025-01-19
59,2527,313.08306038913025,25,groceries,2025-01-11
60,6629,205.39266995693322,67,electronics,2025-01-22
61,5637,154.02404324578652,26,entertainment,2025-01-23
62,9253,173.58100669546906,25,other,2025-01-10
63,6559,325.5812888352882,64,electronics,2025-01-11
64,8781,257.54251639942106,53,travel,2025-01-06
65,5177,134.3760590170079,64,other,2025-01-04
66,2963,,60,groceries,2025-01-18
67,2703,294.9133184495183,29,health,2025-01-07
68,8794,124.11187599657801,62,clothing,2025-01-15
69,2828,241.83042143104035,23,clothing,2025-01-18
70,7576,,27,entertainment,2025-01-27
