transaction_id,customer_id,amount,customer_age,category,transaction_date
1,1803,131.19479047202088,71,entertainment,2025-01-22
2,7964,127.09590991659363,68,entertainment,2025-01-26
3,6890,188.44829357868727,53,travel,2025-01-24
4,4949,190.9552084456069,50,health,2025-01-12
5,4896,123.2456423311644,38,clothing,2025-01-07
6,8726,129.84186615349756,24,dining,2025-01-03
7,1773,177.056541910902,58,clothing,2025-01-16
8,7275,108.62078796326693,18,groceries,2025-01-18
9,2813,129.47330059924926,57,clothing,2025-01-19
10,1847,154.47963836842175,46,travel,2025-01-01
11,5737,199.79693424111292,62,entertainment,2025-01-19
12,9779,119.77006919102296,72,travel,2025-01-22
13,7621,57.88077689846641,49,travel,2025-01-20
14,7849,54.17012662408945,50,clothing,2025-01-15
15,7456,87.02934666469332,45,other,2025-01-01
16,8073,84.34161409000313,39,electronics,2025-01-14
17,5618,142.26946206900456,23,other,2025-01-18
18,2152,90.55599232011974,19,electronics,2025-01-16
19,8556,114.8622520089398,59,entertainment,2025-01-16
20,5053,111.29570575089751,70,health,2025-01-14
21,5502,127.97460695760033,21,travel,2025-01-15
22,4336,216.1252165761561,36,clothing,2025-01-09
23,2642,183.09737947152584,52,other,2025-01-17
24,9339,150.8064707638002,58,groceries,2025-01-08
25,8033,126.9486859709581,59,travel,2025-01-14
26,6794,128.33836716884895,57,dining,2025-01-12
27,4621,166.38732349759746,22,groceries,2025-01-20
28,8404,179.20845366761452,32,other,2025-01-25
29,5908,104.61912469496997,44,health,2025-01-18
30,4990,151.82403778071156,21,electronics,2025-01-04
31,5053,48.419021566848656,37,electronics,2025-01-19
32,3044,160.58568920852986,39,electronics,2025-01-09
33,1829,188.1074620979343,73,entertainment,2025-01-02
34,5990,135.99656865595622,36,entertainment,2025-01-06
35,8990,240.82634980700527,73,travel,2025-01-27
36,1574,105.93807762819748,57,travel,2025-01-12
37,8723,160.87202076516306,57,electronics,2025-01-06
38,8447,148.20876266670223,64,entertainment,2025-01-04
39,3490,144.9851166278296,66,health,2025-01-18
40,6684,144.28389159976263,30,other,2025-01-21
41,2486,155.35525150047357,41,clothing,2025-01-10
42,7822,192.397937173185,48,electronics,2025-01-03
43,7304,218.8868118137372,73,groceries,2025-01-10
44,4190,149.88748777479213,20,clothing,2025-01-18
45,1611,190.76580360858165,45,entertainment,2025-01-04
46,9735,114.91165268666087,30,clothing,2025-01-08
47,5010,188.29777263631166,29,electronics,2025-01-01
48,9037,111.90042380865049,61,clothing,2025-01-13
49,7100,204.5329968044066,29,clothing,2025-01-05
50,8004,260.53204386966195,63,entertainment,2025-01-06
51,7838,143.89580560143042,74,electronics,2025-01-04
52,2751,40.37282545962957,62,health,2025-01-20
53,4274,122.59635333775886,27,entertainment,2025-01-14
54,5200,211.59375671446517,26,clothing,2025-01-26
55,5479,177.65383935126223,42,other,2025-01-11
56,1394,162.44567993375148,49,travel,2025-01-06
57,5918,200.43341779774195,62,groceries,2025-01-06
58,2388,174.2226719624211,42,groceries,2025-01-26
59,7689,210.88625937255682,27,electronics,2025-01-16
60,7146,195.97118383234928,74,dining,2025-01-09
61,9301,226.08502263684795,69,clothing,2025-01-18
62,7702,167.93980419531272,55,entertainment,2025-01-16
63,4299,195.26297007469773,57,dining,2025-01-04
64,9706,134.64364634571072,71,dining,2025-01-19
65,4697,119.9269594220497,45,electronics,2025-01-04
66,3932,235.33838202094867,26,electronics,2025-01-06
67,9148,160.8102338161344,52,health,2025-01-20
68,4333,190.24402829311896,43,other,2025-01-13
69,1687,156.1870007205695,63,health,2025-01-06
70,5225,120.67421745400179,61,other,2025-01-02
71,8160,150.54914462912006,44,entertainment,2025-01-17
72,2705,221.7997008883857,38,health,2025-01-19
73,5166,177.7620037139712,42,other,2025-01-06
74,2169,64.42634201347704,54,other,2025-01-12
75,7177,139.23777717119228,54,groceries,2025-01-10
76,5280,239.1146896352356,47,groceries,2025-01-25
77,3971,139.3101569075022,48,entertainment,2025-01-22
78,3041,59.97606541329097,74,dining,2025-01-08
79,6079,244.6524442711272,32,other,2025-01-14
80,7027,184.11962549063963,27,clothing,2025-01-25
81,9461,146.49935705936,63,health,2025-01-10
82,4933,131.42911319589658,71,other,2025-01-04
83,2446,204.1175964895868,52,other,2025-01-09
84,8493,122.90082998869038,40,groceries,2025-01-17
85,6667,207.4128212257994,37,groceries,2025-01-27
86,7301,177.1097642862128,44,groceries,2025-01-09
87,1874,162.2340962743675,20,travel,2025-01-02
88,3810,157.27574026677976,48,travel,2025-01-05
89,7909,141.2515981642911,33,entertainment,2025-01-12
90,8489,202.2820060104633,33,electronics,2025-01-03
91,4916,106.73285839490829,49,dining,2025-01-01
92,8242,68.90374365848953,72,travel,2025-01-18
93,8574,180.72200614462372,29,entertainment,2025-01-23
94,4486,181.56191640335737,69,clothing,2025-01-07
95,9081,174.01205762558834,47,dining,2025-01-15
96,3594,170.38641848090194,73,travel,2025-01-16
97,3155,133.97298108312262,39,dining,2025-01-19
98,7141,189.37413521927627,74,health,2025-01-27
99,6730,147.72209366227295,55,clothing,2025-01-24
100,2257,125.6443219592411,56,dining,2025-01-09
101,8493,134.40543438723,50,health,2025-01-27
102,2798,251.0319849387916,43,groceries,2025-01-01
103,8243,63.251195897728365,47,clothing,2025-01-26
104,1066,174.98940521478994,66,electronics,2025-01-04
105,8170,66.04447861881414,63,clothing,2025-01-04
106,8081,144.58833308385135,19,electronics,2025-01-04
107,8022,128.3186257422906,57,travel,2025-01-04
108,6982,45.74858516600611,65,electronics,2025-01-13
109,5243,169.45187952168814,60,travel,2025-01-18
110,7345,130.9980968903902,46,dining,2025-01-21
111,3493,45.0396828719378,37,other,2025-01-01
112,8025,191.9784045387126,56,clothing,2025-01-09
113,6000,221.75030889944674,55,clothing,2025-01-04
114,5129,224.5062171148286,39,groceries,2025-01-04
115,5549,167.94782203257355,41,dining,2025-01-21
116,6118,152.30290692885578,39,groceries,2025-01-18
117,1335,216.40783104478984,20,electronics,2025-01-06
118,2258,234.11917926700494,19,other,2025-01-09
119,3209,206.67843514378126,22,travel,2025-01-25
120,2030,102.92311988850994,42,electronics,2025-01-16
121,4956,160.0672426607461,47,dining,2025-01-07
122,7014,171.97580721457143,41,clothing,2025-01-26
123,6889,59.519151554138546,72,groceries,2025-01-06
124,5239,173.4680329810387,30,entertainment,2025-01-08
125,8694,263.6495912989694,40,health,2025-01-19
126,6086,181.99680829003955,32,electronics,2025-01-14
127,1712,223.6706540720878,35,clothing,2025-01-02
128,7884,159.14573650643524,51,other,2025-01-22
129,6170,146.33908380080894,35,entertainment,2025-01-07
130,6711,169.0635695040488,36,electronics,2025-01-19
131,6087,109.20866760077837,56,entertainment,2025-01-10
132,5981,101.81124063828057,65,travel,2025-01-21
133,1815,213.3152278584683,30,other,2025-01-25
134,6032,218.6171171433259,24,travel,2025-01-21
135,8153,100.44468422063248,31,electronics,2025-01-25
136,3735,198.3999402276932,50,health,2025-01-15
137,6424,145.65200121969895,72,health,2025-01-02
138,1277,166.99042872452154,27,travel,2025-01-15
139,4127,173.01093197175317,20,other,2025-01-13
140,4930,199.71752340621592,48,health,2025-01-20
141,9843,154.13591009315945,74,groceries,2025-01-07
142,2931,220.5080997650968,49,entertainment,2025-01-19
143,3488,165.47064198799623,70,dining,2025-01-12
144,4676,181.20921362347661,54,entertainment,2025-01-19
145,9932,108.33687042313767,19,travel,2025-01-12
146,8679,257.93295053524173,42,travel,2025-01-11
147,1312,173.49124616024832,61,electronics,2025-01-06
